design_id,re_style,period_nm,width_nm,gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_coverage,bottom_coverage,sidewall_coverage,re_overlap,score
fine_P294.000_G135.000,particulate,294.0,159.0,135.0,0.0,1,665.0252587985677,3.0684153151341046e-11,450.7986035622226,10836623965447.502,19,0.7861635220125787,0.4854368932038835,0.5,nan,0.20139643777741867
fine_P298.000_G180.000,particulate,298.0,118.0,180.0,0.0,3,665.2562348012773,2.6725300423001715e-10,450.6420869389564,1244618814890.3088,19,0.635593220338983,0.6756756756756757,0.5,nan,0.35791306104357545
fine_P306.000_G155.000,particulate,306.0,151.0,155.0,0.0,1,663.0529092652394,1.6023318454819484e-07,452.1395710822148,2069024937.4211454,20,0.6622516556291391,0.8130081300813008,0.5,nan,1.1395710822147862
fine_P302.000_G150.000,particulate,302.0,152.0,150.0,0.0,1,666.4374854436476,1.1363483102075026e-09,449.843330466965,293236448480.28723,20,0.6578947368421053,0.847457627118644,0.5,nan,1.1566695330349717
fine_P302.000_G185.000,particulate,302.0,117.0,185.0,0.0,1,662.8825222468207,1.1483665187702393e-09,452.25578882946303,288619753106.65063,19,0.6410256410256411,0.6535947712418301,0.5,nan,1.2557888294630288
fine_P304.000_G190.000,particulate,304.0,114.0,190.0,0.0,1,666.6238676875189,5.381185139268508e-08,449.7175581785923,6194024647.311582,19,0.6578947368421053,0.6329113924050633,0.5,nan,1.2824418214077014
fine_P298.000_G140.000,particulate,298.0,158.0,140.0,0.0,3,662.4777973788689,1.2271386390147676e-09,452.5320836202299,269927853429.32083,19,0.7911392405063291,0.46296296296296297,0.5,nan,1.532083620229912
fine_P294.000_G175.000,particulate,294.0,119.0,175.0,0.0,3,667.3667610393675,7.473255367985858e-10,449.21694561637815,446503383183.08514,19,0.6302521008403361,0.6993006993006993,0.5,nan,1.7830543836218453
fine_P304.000_G155.000,particulate,304.0,149.0,155.0,0.0,2,667.9342059014729,2.387602889519804e-07,448.83531244725987,1398754811.4330857,20,0.6711409395973155,0.8130081300813008,0.5,nan,2.1646875527401335
fine_P304.000_G150.000,particulate,304.0,154.0,150.0,0.0,2,661.5455820973732,4.818301266828543e-10,453.1697680597214,686492547333.8132,20,0.6493506493506493,0.847457627118644,0.5,nan,2.1697680597213775
fine_P306.000_G190.000,particulate,306.0,116.0,190.0,0.0,5,660.0545610426315,9.939414955172552e-09,454.19344959368755,33203893992.731117,19,0.646551724137931,0.6329113924050633,0.5,nan,3.1934495936875464
fine_P302.000_G145.000,particulate,302.0,157.0,145.0,0.0,5,659.8388888814918,5.605048318678324e-10,454.3419053523583,588611240587.0236,19,0.7961783439490446,0.4424778761061947,0.5,nan,3.34190535235831
fine_P298.000_G145.000,particulate,298.0,153.0,145.0,0.0,7,670.193240599338,3.6632533911143435e-09,447.32241365475824,91475140953.25365,18,0.6535947712418301,0.4424778761061947,0.5,nan,3.677586345241764
fine_P308.000_G155.000,particulate,308.0,153.0,155.0,0.0,12,658.2552491259128,1.0715514920658748e-07,455.43496751159967,3071505447.9409275,20,0.6535947712418301,0.8130081300813008,0.5,nan,4.434967511599666
fine_P294.000_G130.000,particulate,294.0,164.0,130.0,0.0,3,657.9673214765793,3.9527787824656936e-11,455.63426664901823,8322845239851.085,19,0.7621951219512195,0.5102040816326531,0.5,nan,4.63426664901823
coarse_P306_G150,particulate,306.0,156.0,150.0,0.0,10,656.7498115908799,1.4641921230355492e-09,456.4789402433125,224270367685.53036,20,0.6410256410256411,0.847457627118644,0.5,nan,5.478940243312479
fine_P306.000_G150.000,particulate,306.0,156.0,150.0,0.0,10,656.7498115908799,1.4641921230355492e-09,456.4789402433125,224270367685.53036,20,0.6410256410256411,0.847457627118644,0.5,nan,5.478940243312479
fine_P294.000_G140.000,particulate,294.0,154.0,140.0,0.0,3,672.921484018261,1.6809904301645993e-11,445.5088225298281,20015625072665.34,18,0.6493506493506493,0.46296296296296297,0.5,nan,5.49117747017192
fine_P302.000_G155.000,particulate,302.0,147.0,155.0,0.0,6,672.8976435856061,3.884469116055244e-07,445.5246066883579,866138490.8485862,20,0.6802721088435374,0.8130081300813008,0.5,nan,5.506599642190834
fine_P302.000_G190.000,particulate,302.0,112.0,190.0,0.0,6,673.1419230534796,5.774336956521594e-07,445.3629282812953,582873781.1128483,19,0.6696428571428571,0.6329113924050633,0.5,nan,5.754284458564372
