design_id,re_style,period_nm,width_nm,gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_coverage,bottom_coverage,sidewall_coverage,re_overlap,score
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,1,664.3191299711872,11.80986354667936,451.27777370042406,28.125605657737562,0,1.0,1.0,1.0,nan,26.48136616709572
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,2,664.3013527438328,11.823180094760545,451.28985024904154,28.093175753882775,0,1.0,1.0,1.0,nan,26.495446904278133
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,3,672.2806129635632,5.581201056918562,445.9335167772396,60.22723479296552,0,1.0,1.0,1.0,nan,29.947311527124363
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,4,656.4497909155465,3.816532588587475e-10,456.687567196695,860008103793.6362,0,1.0,1.0,1.0,nan,5.687567196694999
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,5,654.9190850047011,7.078309698219806,457.75495761869286,46.26239264223018,0,1.0,1.0,1.0,nan,32.09404525761798
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,6,654.9172437353291,7.0665355715126665,457.7562445754669,46.33934387704052,0,1.0,1.0,1.0,nan,32.09244505433627
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,7,654.4189223269774,5.941770270065236,458.1048129445898,55.069355813363714,0,1.0,1.0,1.0,nan,32.14117295958988
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,8,654.4123641144253,5.947388883207405,458.1094038553048,55.016779377095574,0,1.0,1.0,1.0,nan,32.1474232006353
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,9,653.5151257099608,4.722212445477725,458.7383615250125,69.1958624538172,0,1.0,1.0,1.0,nan,32.37804101812178
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,10,653.5109156096568,4.721365637271874,458.7413168459861,69.20782733396518,0,1.0,1.0,1.0,nan,32.38069598401401
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,11,652.8229542665623,3.743074090833481,459.2247500500542,87.20411865013288,0,1.0,1.0,1.0,nan,32.46260206148058
fine_P294.000_G135.000,continuous,294.0,159.0,135.0,0.0,12,652.8223334172037,3.741015573994798,459.22518678356784,87.25202027428281,0,1.0,1.0,1.0,nan,32.462084817143136
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,1,664.3191289033605,11.80986273355879,451.27777442580805,28.125607549003842,0,0.0,0.0,0.0,nan,26.481366775665656
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,2,664.3013514378747,11.82317919787508,451.2898511362377,28.093177829752687,0,0.0,0.0,0.0,nan,26.4954476631102
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,3,674.195630607392,6.5494480541421005,444.66686580260523,51.469652483235365,0,0.0,0.0,0.0,nan,31.486929253566252
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,4,674.6313858013657,1.9459827339452306e-08,444.3796483673664,17333950965.57812,0,0.0,0.0,0.0,nan,6.620351632633572
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,5,654.9190855208761,7.078313166042938,457.7549572579128,46.26237001371629,0,0.0,0.0,0.0,nan,32.09404574655108
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,6,654.9172441946453,7.066538418526101,457.75624425442663,46.33932524004052,0,0.0,0.0,0.0,nan,32.09244543196347
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,7,654.8372082625727,3.6836212884947384,457.8121924308721,88.88497988485715,0,0.0,0.0,0.0,nan,31.016878916991057
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,8,654.4189223376144,5.9417699203886345,458.1048129371437,55.069359055122305,0,0.0,0.0,0.0,nan,32.141172849881634
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,9,654.4123641342011,5.947388481871726,458.109403841461,55.016783091345026,0,0.0,0.0,0.0,nan,32.14742306951256
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,10,653.5151253737791,4.72221409415127,458.73836176099695,69.19583825976831,0,0.0,0.0,0.0,nan,32.37804186150343
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,11,653.5109152272532,4.721367623337715,458.74131711441964,69.20779818086496,0,0.0,0.0,0.0,nan,32.38069698421643
fine_P294.000_G135.000,none,294.0,159.0,135.0,0.0,12,652.8223233122975,3.7410134110817133,459.2251938918227,87.25206936955809,0,0.0,0.0,0.0,nan,32.46209094791685
