design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
cyl_P294_G135,294.0,79.5,135.0,0.0,0.0,1,671.2582852578757,1.466433650551146,446.6126744116528,228.87441412899565,13,6,5,2,26.948936605917503
cyl_P294_G135,294.0,79.5,135.0,0.0,0.0,2,671.467102705622,1.4854478914462057,446.4737837371492,226.01503107991675,13,6,5,2,27.109666971783497
cyl_P294_G135,294.0,79.5,135.0,0.0,0.0,3,655.0909657750935,0.5989583954656458,457.6348532684926,546.8584886148969,13,6,5,2,27.683353437123973
cyl_P294_G135,294.0,79.5,135.0,0.0,0.0,4,654.9471564143182,0.588045526645422,457.7353379794688,556.8847365871013,13,6,5,2,27.752276720815768
cyl_P294_G130,294.0,82.0,130.0,0.0,0.0,1,657.7838536088318,0.5572915600167536,455.7613513241986,590.161327393023,13,6,5,2,25.67746833512593
cyl_P294_G130,294.0,82.0,130.0,0.0,0.0,2,657.7294266670062,0.5422197110315075,455.799065459448,606.5155999361915,13,6,5,2,25.667697556830035
cyl_P294_G130,294.0,82.0,130.0,0.0,0.0,3,655.8590741600702,0.005221841316752734,457.0988948867269,62799.5983003103,13,6,5,2,18.907067423658148
cyl_P294_G130,294.0,82.0,130.0,0.0,0.0,4,675.0424575591445,1.6422741277774404,444.1090403172654,205.52063938092607,13,6,5,2,29.639537913279955
cyl_P294_G150,294.0,72.0,150.0,0.0,0.0,1,660.3771327958141,1.1354653403919055,453.9715915522087,290.79581265240785,12,6,4,2,25.117238957973004
cyl_P294_G150,294.0,72.0,150.0,0.0,0.0,2,660.0482945883118,1.1393269871150706,454.19776167589043,289.66587382417885,12,6,4,2,25.35017234378577
cyl_P294_G150,294.0,72.0,150.0,0.0,0.0,3,653.6454465840235,5.380141357731958,458.64690034441,60.746121999624656,12,6,4,2,32.51282611231113
cyl_P294_G150,294.0,72.0,150.0,0.0,0.0,4,653.6429731595969,5.380206421731426,458.64863589193834,60.74515752029876,12,6,4,2,32.51458924160833
cyl_P306_G155,306.0,75.5,155.0,0.0,0.0,1,660.5894520059866,0.42448540431404097,453.8256811240806,778.1062025836725,12,6,4,2,23.261525615051045
cyl_P306_G155,306.0,75.5,155.0,0.0,0.0,2,659.9814173638406,0.5868768904354973,454.2437864348651,562.2826764179583,12,6,4,2,24.243967621382254
cyl_P306_G155,306.0,75.5,155.0,0.0,0.0,3,659.9625838999378,0.5877687839881983,454.2567492666431,561.4134349070748,12,6,4,2,24.25961806140673
cyl_P306_G155,306.0,75.5,155.0,0.0,0.0,4,659.9603139652444,0.5878326300128739,454.2583116835538,561.3505275734616,12,6,4,2,24.261375142975727
cyl_P306_G150,306.0,78.0,150.0,0.0,0.0,1,663.0054034431377,0.5456808402390491,452.17196789514793,607.5029161301427,13,6,5,2,22.03777442726034
cyl_P306_G150,306.0,78.0,150.0,0.0,0.0,2,659.981415987224,0.5868856221942598,454.24378738234566,562.2743095321301,13,6,5,2,24.2439944186322
cyl_P306_G150,306.0,78.0,150.0,0.0,0.0,3,659.9625826765039,0.5877803727495957,454.2567501087411,561.402364959249,13,6,5,2,24.25965315750971
cyl_P306_G150,306.0,78.0,150.0,0.0,0.0,4,659.9603130876588,0.5878413307883853,454.25831228760603,561.3422181480086,13,6,5,2,24.26140146190059
cyl_P306_G180,306.0,63.0,180.0,0.0,0.0,1,659.981416134788,0.586884360368378,454.24378728078216,562.275518571093,12,6,4,2,24.243990581679217
cyl_P306_G180,306.0,63.0,180.0,0.0,0.0,2,659.9625828275492,0.5877749958922238,454.25675000477554,561.4075006931411,12,6,4,2,24.25963716183565
cyl_P306_G180,306.0,63.0,180.0,0.0,0.0,3,659.9603134570787,0.5878351688812682,454.2583120333302,561.3481026603721,12,6,4,2,24.261382997001917
cyl_P306_G180,306.0,63.0,180.0,0.0,0.0,4,659.9571353976437,0.5877235932118993,454.2604995389074,561.4519674044302,12,6,4,2,24.26324910690746
cyl_P280_G130,280.0,75.0,130.0,0.0,0.0,1,661.5332006333057,0.002545583773863346,453.17824972805545,129937.4248503555,11,5,4,2,13.72331270605431
cyl_P280_G130,280.0,75.0,130.0,0.0,0.0,2,673.3707637385106,0.001637846392786818,445.2115745797632,205565.9085931621,11,5,4,2,16.53662105165796
