design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
primitive_P560_f0p75,primitive_1d_grating,single-period 1D reference,560.0,1,560,420,140.0,140.0,987.2044202204338,5546808658.776342,7,453.87198041913723,770.8604191294174,3,25.732917872780245
primitive_P700_f0p68,primitive_1d_grating,single-period 1D reference,700.0,1,700,476,223.99999999999994,223.99999999999994,979.4088120668664,79.26051867225696,1,449.3963249405538,166.46716763037136,2,56.60733819480167
dimer_P600_dP120,dimerized_pitch_grating,alternating pitch,1200.0,2,540;660,334.8;409.2,228.0,228.0,981.9022076749973,153.8771502355034,1,451.22399952041053,86.69774993442078,1,56.96616462204658
dimer_P600_dW70,dimerized_same_pitch_grating,alternating SiN ridge width,1200.0,2,600;600,337;407,228.0,228.0,982.7881677520971,177.05255889413445,1,450.84595391811627,92.19126079829033,1,58.134907113358004
primitive_P540_f0p75,primitive_1d_grating,single-period 1D reference,540.0,1,540,405,135.0,135.0,956.5729939811669,14941749450.703346,3,445.7520502510803,2464.928758730085,2,58.5347442992527
hybrid_451_980_P360_650,hybrid_451_980_supercell,one visible-scale ridge plus one 980-scale ridge,1010.0,2,360;650,200;455,177.5,177.5,979.915058564922,23.48829560310864,1,453.6589170904341,266.1747809970872,3,59.53217181150376
trimer_visible_pump_s1p08,trimer_visible_pump_supercell,three-ridge supercell for folded dual branches,1483.92,3,317.52;583.2;583.2,171.72;415.8;442.8,143.0999999999999,143.0999999999999,978.0474649288726,92.37482162125404,1,449.9180469144368,63.20496591226417,1,60.025143132687774
dimer_P420_dW100,dimerized_same_pitch_grating,alternating SiN ridge width,840.0,2,420;420,210.4;310.4,159.60000000000002,159.60000000000002,981.0542912467811,56.388871374820745,3,452.2229198826133,33.61210762053433,1,60.96716557872338
primitive_P980_f0p55,primitive_1d_grating,single-period 1D reference,980.0,1,980,539,441.0,441.0,977.4976195711253,69.11168994196073,1,451.9621104915981,87.08130089443809,1,61.330311127957614
hybrid_451_980_P300_560,hybrid_451_980_supercell,one visible-scale ridge plus one 980-scale ridge,860.0,2,300;560,165;400,147.5,147.5,975.5265778525486,51.13581405021861,1,448.9558900797705,2063.4716367526003,2,61.77148398206826
hybrid_451_980_P294_554,hybrid_451_980_supercell,one visible-scale ridge plus one 980-scale ridge,848.0,2,294;554,159;414,137.5,137.5,981.5372406876154,41.52060340073913,1,452.1631332356943,60.32031846609862,1,61.78791451379589
dimer_P420_dP120,dimerized_pitch_grating,alternating pitch,840.0,2,360;480,223.2;297.6,159.59999999999997,159.59999999999997,981.7936441048058,59.32302083705377,3,448.2631246883082,106.010805827061,2,61.81020017234824
primitive_P840_f0p68,primitive_1d_grating,single-period 1D reference,840.0,1,840,571.2,268.79999999999995,268.79999999999995,978.2423541137488,60.48408334679928,3,447.5579649077019,141.34768204321003,2,61.88468437894076
dimer_P420_dW70,dimerized_same_pitch_grating,alternating SiN ridge width,840.0,2,420;420,225.4;295.4,159.60000000000002,159.60000000000002,981.8988630116127,59.77402017351717,3,448.3527047663472,97.46648166737334,3,62.05401283922443
