design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,groove_widths_nm,groove_depths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
groove_P550_f0p78_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,100,100.0,121.0,976.8410067703269,9732741184.998209,1,446.2757222166117,1785.7841816043663,4,18.03494835599544
groove_P554_f0p76_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,100,100.0,132.95999999999998,977.560522804641,6161188199.505435,5,445.69085186002525,267.9442926551489,3,20.475924487522068
groove_P558_f0p74_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,100,100.0,145.07999999999998,977.4932139901123,4652076472.038403,1,452.23569233279613,24.81932239524518,1,20.67010467083822
groove_P556_f0p75_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,100,100.0,139.0,977.6317014990607,5746330136.155124,3,452.82408606309724,25.234589876174525,1,20.952698061859202
groove_P550_f0p78_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,120,100.0,121.0,975.7982069763748,8990362038.339397,1,444.974613294293,2281.363391515067,4,20.99619487996156
groove_P562_f0p72_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,100,100.0,157.36,976.6119488822194,2845807379.732828,3,451.07562701288003,24.609128950090405,1,21.287344280645723
groove_P558_f0p74_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,120,100.0,145.07999999999998,976.444156780321,4261024682.7647142,5,451.70456532748557,26.500118628529506,1,22.123260494552856
groove_P556_f0p75_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,120,100.0,139.0,976.5860014024349,5529449392.50357,3,452.2374040130833,26.976326020846702,1,22.341470001743374
groove_P554_f0p76_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,120,100.0,132.95999999999998,976.516006218426,6066881707.90446,5,452.7775481164025,27.75007109489968,1,22.972479279109123
groove_P562_f0p72_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,120,100.0,157.36,975.555111135004,2666747809.5143895,5,450.69941270424937,26.271965419175107,1,23.512394770567276
groove_P550_f0p78_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,150,100.0,121.0,974.1151882529481,8729280670.38635,3,444.19560160868554,2804.3832947054566,5,24.782672399738825
groove_P558_f0p74_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,120,100,100.0,145.07999999999998,975.2681551979938,4247902280.7690396,5,452.32190912987494,24.73234125104696,1,25.212537813240814
groove_P556_f0p75_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,150,100.0,139.0,974.8910307672758,5081779324.413809,5,449.358356950412,41.01705634193471,1,25.40772355793071
groove_P554_f0p76_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,150,100.0,132.95999999999998,974.8262785686259,5621341290.871299,7,449.3525185990829,43.60104253710588,1,25.436936768728728
groove_P556_f0p75_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,120,100,100.0,139.0,975.4081008330878,5355045736.4699335,5,452.93835836540615,25.11821735330552,1,25.522201442583626
groove_P562_f0p72_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,120,100,100.0,157.36,974.3745580296971,2510229356.72176,5,451.1166734768417,24.515438947754177,1,25.809798722753
groove_P558_f0p74_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,150,100.0,145.07999999999998,974.7446748642122,4057537683.903044,5,449.3187648546261,39.29857260964051,1,25.81437831153059
groove_P550_f0p78_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,120,100,100.0,121.0,974.6354482560873,9721239079.85016,3,446.7681495165209,154.86787593454375,3,26.20110860372056
groove_P554_f0p76_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,120,100,100.0,132.95999999999998,975.3480508066073,6621501925.033009,7,453.5496342682965,25.672724352405687,1,26.21564482380309
groove_P562_f0p72_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,150,100.0,157.36,973.8429410027875,2512131438.5001607,5,449.17911086075634,37.23221435557978,1,27.85133166848236
groove_P558_f0p74_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,120,120,120.0,145.07999999999998,973.5536514686477,3504294922.943246,5,451.82366808051495,26.290044536310788,1,28.037199855947804
groove_P556_f0p75_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,120,120,120.0,139.0,973.7039469680528,4677421563.546404,9,452.4060059105569,26.744861340628013,1,28.2891505719442
groove_P550_f0p78_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,180,100.0,121.0,972.3622646421679,8434772009.545132,5,444.1314137512432,2854.635078115522,4,28.321854571803016
groove_P554_f0p76_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,120,120,120.0,132.95999999999998,973.6501961834367,6011075989.056356,7,453.0086562132198,27.449764413364466,1,28.954109360406278
groove_P562_f0p72_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,120,120,120.0,157.36,972.6472997961131,2450767694.2580743,5,450.7413976981621,26.0401118526391,1,29.30143132814086
groove_P558_f0p74_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,140,100,100.0,145.07999999999998,972.447851645951,3614992501.073293,7,452.37146024668675,24.862242283869406,1,30.893595777337488
groove_P556_f0p75_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,140,100,100.0,139.0,972.6002607315736,4478272144.104663,9,453.0125460958064,25.21704584145969,1,31.205247800919434
groove_P556_f0p75_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,180,100.0,139.0,973.1269463858506,4746142548.852071,9,446.9823555811609,42.78658466096442,1,31.23852116183263
groove_P554_f0p76_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,180,100.0,132.95999999999998,973.0658553949086,5105232452.619991,7,447.1219364646459,41.09539717942058,1,31.29118001681817
groove_P550_f0p78_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,120,120,120.0,121.0,972.943405948146,9005180745.64234,5,454.32517352108806,29.728424895848818,1,31.5456740266123
