design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,groove_widths_nm,groove_depths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
groove_P550_f0p78_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,100,100.0,121.0,976.8410067703269,9732741184.998209,1,446.2757222166117,1785.7841816043663,4,18.03494835599544
groove_P554_f0p76_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,100,100.0,132.95999999999998,977.560522804641,6161188199.505435,5,445.69085186002525,267.9442926551489,3,20.475924487522068
groove_P558_f0p74_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,100,100.0,145.07999999999998,977.4932139901123,4652076472.038403,1,452.23569233279613,24.81932239524518,1,20.67010467083822
groove_P556_f0p75_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,100,100.0,139.0,977.6317014990607,5746330136.155124,3,452.82408606309724,25.234589876174525,1,20.952698061859202
groove_P550_f0p78_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,120,100.0,121.0,975.7982069763748,8990362038.339397,1,444.974613294293,2281.363391515067,4,20.99619487996156
groove_P562_f0p72_gw100_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,100,100.0,157.36,976.6119488822194,2845807379.732828,3,451.07562701288003,24.609128950090405,1,21.287344280645723
groove_P558_f0p74_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,120,100.0,145.07999999999998,976.444156780321,4261024682.7647142,5,451.70456532748557,26.500118628529506,1,22.123260494552856
groove_P556_f0p75_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,120,100.0,139.0,976.5860014024349,5529449392.50357,3,452.2374040130833,26.976326020846702,1,22.341470001743374
groove_P554_f0p76_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,120,100.0,132.95999999999998,976.516006218426,6066881707.90446,5,452.7775481164025,27.75007109489968,1,22.972479279109123
groove_P562_f0p72_gw100_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,120,100.0,157.36,975.555111135004,2666747809.5143895,5,450.69941270424937,26.271965419175107,1,23.512394770567276
groove_P550_f0p78_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,150,100.0,121.0,974.1151882529481,8729280670.38635,3,444.19560160868554,2804.3832947054566,5,24.782672399738825
groove_P558_f0p74_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,120,100,100.0,145.07999999999998,975.2681551979938,4247902280.7690396,5,452.32190912987494,24.73234125104696,1,25.212537813240814
groove_P556_f0p75_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,150,100.0,139.0,974.8910307672758,5081779324.413809,5,449.358356950412,41.01705634193471,1,25.40772355793071
groove_P554_f0p76_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,150,100.0,132.95999999999998,974.8262785686259,5621341290.871299,7,449.3525185990829,43.60104253710588,1,25.436936768728728
groove_P556_f0p75_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,120,100,100.0,139.0,975.4081008330878,5355045736.4699335,5,452.93835836540615,25.11821735330552,1,25.522201442583626
groove_P562_f0p72_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,120,100,100.0,157.36,974.3745580296971,2510229356.72176,5,451.1166734768417,24.515438947754177,1,25.809798722753
groove_P558_f0p74_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,150,100.0,145.07999999999998,974.7446748642122,4057537683.903044,5,449.3187648546261,39.29857260964051,1,25.81437831153059
groove_P550_f0p78_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,120,100,100.0,121.0,974.6354482560873,9721239079.85016,3,446.7681495165209,154.86787593454375,3,26.20110860372056
groove_P554_f0p76_gw120_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,120,100,100.0,132.95999999999998,975.3480508066073,6621501925.033009,7,453.5496342682965,25.672724352405687,1,26.21564482380309
groove_P562_f0p72_gw100_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,150,100.0,157.36,973.8429410027875,2512131438.5001607,5,449.17911086075634,37.23221435557978,1,27.85133166848236
groove_P558_f0p74_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,120,120,120.0,145.07999999999998,973.5536514686477,3504294922.943246,5,451.82366808051495,26.290044536310788,1,28.037199855947804
groove_P556_f0p75_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,120,120,120.0,139.0,973.7039469680528,4677421563.546404,9,452.4060059105569,26.744861340628013,1,28.2891505719442
groove_P550_f0p78_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,100,180,100.0,121.0,972.3622646421679,8434772009.545132,5,444.1314137512432,2854.635078115522,4,28.321854571803016
groove_P554_f0p76_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,120,120,120.0,132.95999999999998,973.6501961834367,6011075989.056356,7,453.0086562132198,27.449764413364466,1,28.954109360406278
groove_P562_f0p72_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,120,120,120.0,157.36,972.6472997961131,2450767694.2580743,5,450.7413976981621,26.0401118526391,1,29.30143132814086
groove_P558_f0p74_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,140,100,100.0,145.07999999999998,972.447851645951,3614992501.073293,7,452.37146024668675,24.862242283869406,1,30.893595777337488
groove_P556_f0p75_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,140,100,100.0,139.0,972.6002607315736,4478272144.104663,9,453.0125460958064,25.21704584145969,1,31.205247800919434
groove_P556_f0p75_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,100,180,100.0,139.0,973.1269463858506,4746142548.852071,9,446.9823555811609,42.78658466096442,1,31.23852116183263
groove_P554_f0p76_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,100,180,100.0,132.95999999999998,973.0658553949086,5105232452.619991,7,447.1219364646459,41.09539717942058,1,31.29118001681817
groove_P550_f0p78_gw120_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,120,120,120.0,121.0,972.943405948146,9005180745.64234,5,454.32517352108806,29.728424895848818,1,31.5456740266123
groove_P558_f0p74_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,558.0,1,558,412.92,100,180,100.0,145.07999999999998,972.9741644881863,3720355629.65433,7,446.8401031392996,44.38139856998918,1,31.622763949016274
groove_P554_f0p76_gw140_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,140,100,100.0,132.95999999999998,972.5523847256458,5324437206.028557,7,453.6490116264163,25.708215344664286,1,31.903954458653107
groove_P562_f0p72_gw100_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,562.0,1,562,404.64,100,180,100.0,157.36,972.0558874254684,2361088683.532948,5,446.54039516038523,47.2982372205466,1,33.64845016819224
groove_P554_f0p76_gw160_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,160,150,130.52,132.95999999999998,979.9943146162174,66.42711678676926,2,450.17844993180375,51.50020928169717,1,57.22926704155949
groove_P554_f0p76_gw180_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,180,150,120.52000000000001,132.95999999999998,979.9943146162127,66.42711678677264,2,450.00089871994976,51.83255166095147,1,57.395643872111464
groove_P554_f0p76_gw140_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,140,150,132.95999999999998,132.95999999999998,979.9943146162216,66.427116786764,2,450.002723077198,49.70536300793332,1,57.466616872187544
groove_P554_f0p76_gw120_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,120,150,120.0,132.95999999999998,979.9943146162257,66.4271167867574,2,449.6902850524905,46.94253667516875,1,57.87840167941645
groove_P554_f0p76_gw180_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,180,180,120.0,132.95999999999998,979.9943146162257,66.42711678678086,2,452.14052090996626,24.740599831545545,1,58.82183295961134
groove_P554_f0p76_gw180_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,180,120,120.0,132.95999999999998,979.9943146162046,66.42711678684554,2,452.8604948354322,29.421864109705158,1,59.24076704324935
groove_P554_f0p76_gw160_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,160,120,120.0,132.95999999999998,979.9943146162108,66.42711678683452,2,453.05375213562496,27.61134462015171,1,59.54435485866785
groove_P554_f0p76_gw140_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,140,120,120.0,132.95999999999998,979.9943146162154,66.42711678682113,2,453.1111064175613,27.249748035917992,1,59.62460940273044
groove_P554_f0p76_gw160_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,160,180,120.0,132.95999999999998,979.9943146162294,66.42711678677851,2,453.04039048794624,25.58021170291547,1,59.663726899255884
groove_P554_f0p76_gw160_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,160,100,100.0,132.95999999999998,979.9943146162112,66.42711678689814,2,453.72552543842653,26.131261191949108,1,60.31183690374845
groove_P554_f0p76_gw180_gd100,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,180,100,100.0,132.95999999999998,979.9943146162055,66.42711678692153,2,453.8834419353201,27.276434734573204,1,60.39524446963069
groove_P556_f0p75_gw160_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,160,150,128.5,139.0,979.8377780795453,27.30329805882703,1,450.15428016948124,46.572369577369706,1,60.44414455987575
groove_P554_f0p76_gw140_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,140,180,120.0,132.95999999999998,979.9943146162326,66.427116786772,2,453.9680903221909,25.68348863430519,1,60.58442721347597
groove_P556_f0p75_gw140_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,140,150,138.5,139.0,979.8377780795402,27.303298058816544,1,449.97875631393873,45.602746160524205,1,60.656217770838566
groove_P556_f0p75_gw180_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,180,150,118.5,139.0,979.8377780795485,27.30329805883719,1,449.9173963463261,46.311879192577955,1,60.690772108987005
groove_P556_f0p75_gw120_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,120,150,120.0,139.0,979.8377780795338,27.303298058806767,1,449.6643109926774,43.66675408696279,1,61.04602343581609
groove_P554_f0p76_gw120_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,554.0,1,554,421.04,120,180,120.0,132.95999999999998,979.9943146162352,66.42711678676197,2,446.4097076046368,41.98308334686663,2,61.352948019712805
groove_P556_f0p75_gw180_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,180,120,118.5,139.0,979.8377780795613,27.30329805879898,1,452.09393904983335,28.92991359350133,1,61.51948857375031
groove_P556_f0p75_gw180_gd180,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,180,180,118.5,139.0,979.8377780795286,27.30329805885021,1,452.12918114969057,24.180771960945233,1,61.86623857408918
groove_P556_f0p75_gw160_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,160,120,120.0,139.0,979.8377780795544,27.303298058790137,1,452.35471636420993,27.096452418501446,1,61.89400469447514
groove_P556_f0p75_gw140_gd120,wide_shallow_groove_1d,wide shallow top groove in SiN only,556.0,1,556,417,140,120,120.0,139.0,979.8377780795468,27.303298058781202,1,452.459787050514,26.643352350988895,1,62.02836964756599
groove_P550_f0p78_gw160_gd150,wide_shallow_groove_1d,wide shallow top groove in SiN only,550.0,1,550,429,160,150,121.0,121.0,975.276002897054,248.0435175595572,2,450.2644681641485,64.02913771494903,1,62.196320258183064
