period_nm,fill,ridge_width_nm,taper_deg,top_gap_nm,bottom_gap_nm,min_gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
559.3,0.6681995351332023,373.724,0.0,185.57599999999996,185.57599999999996,185.57599999999996,153.57599999999996,0.0,8,309.8014560322722,8.391164740288352e-10,967.6922175884496,184599793724.00348,12.30778241155042
559.3,0.6771392812444127,378.724,0.0,180.57599999999996,180.57599999999996,180.57599999999996,148.57599999999996,0.0,4,308.6365778689582,1.8887767622105895e-09,971.34455050654,81702767644.10625,8.655449493459969
559.3,0.6860790273556231,383.724,0.0,175.57599999999996,175.57599999999996,175.57599999999996,143.57599999999996,0.0,2,307.52480274242475,2.1776032033908554e-10,974.8561915218879,706108445890.3312,5.143808478112078
559.3,0.6950187734668336,388.724,0.0,170.57599999999996,170.57599999999996,170.57599999999996,138.57599999999996,0.0,1,306.4651918125617,1.5664987073610243e-10,978.2267807541325,978185268754.0457,1.7732192458674945
559.3,0.703958519578044,393.724,0.0,165.57599999999996,165.57599999999996,165.57599999999996,133.57599999999996,0.0,1,305.45775542549126,2.5536127513752e-10,981.4530902395989,598089423036.0354,1.4530902395988505
562.3,0.6646345367241686,373.724,0.0,188.57599999999996,188.57599999999996,188.57599999999996,156.57599999999996,0.0,1,308.84505244449895,9.247471175420188e-10,970.6888798352186,166988924099.27713,9.311120164781414
562.3,0.6735265872310155,378.724,0.0,183.57599999999996,183.57599999999996,183.57599999999996,151.57599999999996,0.0,1,307.6710822550037,1.0652630192864863e-09,974.3927047116059,144410852852.60437,5.607295288394084
562.3,0.6824186377378624,383.724,0.0,178.57599999999996,178.57599999999996,178.57599999999996,146.57599999999996,0.0,1,306.5500514382368,6.441787120134168e-10,977.9559866112164,237938669596.9022,2.0440133887835827
562.3,0.6913106882447093,388.724,0.0,173.57599999999996,173.57599999999996,173.57599999999996,141.57599999999996,0.0,1,305.4800724838375,9.490465497666597e-10,981.3813895040947,160940510536.04553,1.3813895040947273
562.3,0.7002027387515561,393.724,0.0,168.57599999999996,168.57599999999996,168.57599999999996,136.57599999999996,0.0,1,304.46203532658603,6.052472946558693e-10,984.662858469112,251518708150.27487,4.662858469112052
564.3,0.6622789296473507,373.724,0.0,190.57599999999996,190.57599999999996,190.57599999999996,158.57599999999996,0.0,1,308.214841240927,1.5547615566798737e-09,972.6736609858987,99119649542.63036,7.326339014101336
564.3,0.6711394648236754,378.724,0.0,185.57599999999996,185.57599999999996,185.57599999999996,153.57599999999996,0.0,1,307.0350885919545,1.1398023323723548e-09,976.4110655066532,134687866427.19868,3.5889344933467555
564.3,0.68,383.724,0.0,180.57599999999996,180.57599999999996,180.57599999999996,148.57599999999996,0.0,1,305.90750488967643,9.235763773409329e-10,980.0101442693216,165610290818.83524,0.010144269321585853
564.3,0.6888605351763247,388.724,0.0,175.57599999999996,175.57599999999996,175.57599999999996,143.57599999999996,0.0,1,304.8313880704177,7.15486674932199e-10,983.4697794662351,213023805159.82648,3.4697794662350816
564.3,0.6977210703526493,393.724,0.0,170.57599999999996,170.57599999999996,170.57599999999996,138.57599999999996,0.0,1,303.80624232534063,4.999465562251679e-10,986.7883414948324,303838718901.49713,6.788341494832366
566.3,0.6599399611513332,373.724,0.0,192.57599999999996,192.57599999999996,192.57599999999996,160.57599999999996,0.0,1,307.59049164733057,1.1446395937647557e-09,974.6480016155004,134361284251.77734,5.351998384499552
566.3,0.6687692036023309,378.724,0.0,187.57599999999996,187.57599999999996,187.57599999999996,155.57599999999996,0.0,1,306.4049233171436,8.435435155187584e-10,978.4191936423314,181617733809.92215,1.5808063576686209
566.3,0.6775984460533286,383.724,0.0,182.57599999999996,182.57599999999996,182.57599999999996,150.57599999999996,0.0,1,305.27177694282614,9.258182288895635e-10,982.0510136976982,164865935567.5965,2.051013697698181
