design_id,family,n_periods,pitches_nm,widths_nm,groove_w_nm,groove_d_nm,min_feature_nm,min_gap_nm,min_remaining_gap_nm,lambda980_nm,q980,mode980,lambda451_nm,q451,mode451,re_overlap451,folded_only,dual_score,passes_dual_targets
periodic_N1_baseline,periodic_supercell,1,564.3,383.724,0.0,0.0,180.57599999999996,180.57599999999996,148.57599999999996,980.0098957597728,153252347519.12872,1,451.6250208113661,79.36696594537707,1,0.0497597331322239,False,1.1664049587795873,False
primitive_P564.25_Woff+0,primitive_tune,1,564.25,383.69,0.0,0.0,180.55999999999995,180.55999999999995,148.55999999999995,979.9347806851628,163351180206.7448,1,451.61786979116084,79.27104776264348,1,0.11718355287567953,False,1.3831740579831098,False
primitive_P564.35_Woff+0,primitive_tune,1,564.35,383.758,0.0,0.0,180.59199999999998,180.59199999999998,148.59199999999998,980.0832732284321,227284700276.11026,1,451.63207835425106,79.4635484326014,1,0.03502370865120541,False,1.4643314954491893,False
primitive_P564.20_Woff+0,primitive_tune,1,564.2,383.656,0.0,0.0,180.54399999999998,180.54399999999998,148.54399999999998,979.8600731694655,296355335397.7315,1,451.6106152085326,79.17509735039981,1,0.10622632327103268,False,1.677379500497129,False
primitive_P564.40_Woff+0,primitive_tune,1,564.4,383.792,0.0,0.0,180.60799999999995,180.60799999999995,148.60799999999995,980.1601414388135,193593855710.74472,1,451.639134772939,79.55970675454992,1,0.02548352389255262,False,1.7762346596462386,False
primitive_P564.00_Woff+0,primitive_tune,1,564,383.52,0.0,0.0,180.47999999999996,180.47999999999996,148.47999999999996,979.5583692635935,169900679758.91257,1,451.58219880886855,78.7927020626907,1,nan,False,2.866291783841208,False
primitive_P562.30_Woff+5,primitive_tune,1,562.3,387.364,0.0,0.0,174.93599999999998,174.93599999999998,142.93599999999998,980.463338933444,152046841599.125,1,451.5027447351977,77.15749352987552,1,nan,False,2.919209913501751,False
primitive_P566.30_Woff-5,primitive_tune,1,566.3,380.084,0.0,0.0,186.21599999999995,186.21599999999995,154.21599999999995,979.4215922110674,221237388183.82382,1,451.73774073665294,81.39642140962772,1,nan,False,3.498345334535427,False
primitive_P563.30_Woff+0,primitive_tune,1,563.3,383.044,0.0,0.0,180.25599999999997,180.25599999999997,148.25599999999997,978.5059129181332,83307520625.67505,1,451.4832531039366,77.46186751866146,1,nan,False,7.0141616157606,False
primitive_P565.30_Woff+0,primitive_tune,1,565.3,384.404,0.0,0.0,180.89599999999996,180.89599999999996,148.89599999999996,981.5136862951235,65535549208.19163,1,451.7691555008328,81.30124651524565,1,nan,False,7.273414659965308,False
primitive_P563.30_Woff+5,primitive_tune,1,563.3,388.044,0.0,0.0,175.25599999999997,175.25599999999997,143.25599999999997,981.9668530299915,296955192476.31525,1,451.6491673850078,79.15764846370304,1,nan,False,9.024115084275694,False
primitive_P565.30_Woff-5,primitive_tune,1,565.3,379.404,0.0,0.0,185.89599999999996,185.89599999999996,153.89599999999996,977.9160883236137,77523974041.5671,1,451.59802056538274,79.5786804657112,1,nan,False,9.429683602858072,False
primitive_P562.30_Woff+0,primitive_tune,1,562.3,382.364,0.0,0.0,179.93599999999998,179.93599999999998,147.93599999999998,977.0014376970619,199531770065.7348,1,451.3438417472175,75.58701704697907,1,nan,False,12.945854925184902,False
primitive_P564.00_Woff+5,primitive_tune,1,564,388.52,0.0,0.0,175.47999999999996,175.47999999999996,143.47999999999996,983.0202420960452,163168391695.53888,1,451.753156840934,80.57754387171299,1,nan,False,13.303055098685151,False
primitive_P566.30_Woff+0,primitive_tune,1,566.3,385.084,0.0,0.0,181.21599999999995,181.21599999999995,149.21599999999995,983.0165125281704,1336617635762.169,1,451.9153508868433,83.25703114798722,1,nan,False,13.379296397652558,False
primitive_P564.20_Woff+5,primitive_tune,1,564.2,388.656,0.0,0.0,175.54399999999998,175.54399999999998,143.54399999999998,983.3195038782254,101979182258.37915,1,451.7831422794897,80.9885765799224,1,nan,False,14.519038962082748,False
primitive_P564.40_Woff-5,primitive_tune,1,564.4,378.792,0.0,0.0,185.60799999999995,185.60799999999995,153.60799999999995,976.5611547055113,108236552891.6422,1,451.4741662938692,77.96273240971506,1,nan,False,14.770112213280948,False
primitive_P564.25_Woff+5,primitive_tune,1,564.25,388.69,0.0,0.0,175.55999999999995,175.55999999999995,143.55999999999995,983.3944729741978,202017891423.42358,1,451.7905581808379,81.08707390736484,1,nan,False,14.823691933461301,False
primitive_P564.35_Woff-5,primitive_tune,1,564.35,378.758,0.0,0.0,185.59199999999998,185.59199999999998,153.59199999999998,976.4849117095785,187971153095.6754,1,451.46728356392885,77.87236012100051,1,nan,False,15.070720039112931,False
primitive_P564.35_Woff+5,primitive_tune,1,564.35,388.758,0.0,0.0,175.59199999999998,175.59199999999998,143.59199999999998,983.5463175317211,359144309647.3806,1,451.80551455404986,81.29274110852371,1,nan,False,15.440525842094182,False
