"design_id","period_nm","radius_nm","axis_gap_nm","kx_norm","ky_norm","mode_index","freq_thz_real","freq_thz_imag","wavelength_nm","q_value","particle_count","top_count","sio2_count","side_count","score"
"smallgap_P590_G80","590.0","255.0","80.0","0.0","0.0","1","307.88322603936086","0.007060256881137497","973.7213093956391","21803.96770420037","0","0","0","0","20.924548484025415"
"smallgap_P600_G80","600.0","260.0","80.0","0.0","0.0","1","303.1429537665027","0.008170203842498582","988.9474727191466","18551.737484789403","0","0","0","0","23.87393435828149"
"smallgap_P600_G90","600.0","255.0","90.0","0.0","0.0","1","304.9600660365689","0.009053390154807951","983.0548041790192","16842.3132562455","0","0","0","0","18.14919721624898"
"smallgap_P600_G100","600.0","250.0","100.0","0.0","0.0","1","306.9240624657728","0.010167035884528755","976.7642705870672","15094.07785866189","0","0","0","0","18.52050306953212"
"smallgap_P600_G110","600.0","245.0","110.0","0.0","0.0","1","309.0240885702405","0.011548843310644763","970.1265017463448","13379.00602934875","0","0","0","0","25.36780285583345"
"focus_P610_G130","610.0","240.0","130.0","0.0","0.0","1","308.60064065050847","0.01721408876521415","971.4576657004295","8963.606638131256","0","0","0","0","24.73240314133455"
"clean_P620_rho0p38","620.0","235.6","148.8","0.0","0.0","12","308.1879357762163","0.02567589129632958","972.7585774729595","6001.504139026176","0","0","0","0","24.128382087230925"
"clean_P680_rho0p32","680.0","217.6","244.8","0.0","0.0","1","303.3886595254036","0.23351985188771834","988.1465525737541","649.5992890387747","0","0","0","0","28.89597041009444"
"clean_P620_rho0p38","620.0","235.6","148.8","0.0","0.0","4","305.1366316734749","0.8072817725528607","982.4859649129455","188.99016554563332","0","0","0","0","25.38020809118139"
"clean_P620_rho0p24","620.0","148.79999999999998","322.40000000000003","0.0","0.0","5","305.1366310475728","0.807286303431628","982.4859669282393","188.98910445432568","0","0","0","0","25.38021985994344"
"clean_P620_rho0p36","620.0","223.2","173.60000000000002","0.0","0.0","5","305.1366306669771","0.807288072833679","982.4859681536901","188.98868999507854","0","0","0","0","25.380224895086034"
"clean_P620_rho0p16","620.0","99.2","421.6","0.0","0.0","5","305.1366304222204","0.8072892688281348","982.4859689417636","188.98840985781854","0","0","0","0","25.3802282581741"
"clean_P620_rho0p20","620.0","124.0","372.0","0.0","0.0","5","305.1366303603993","0.8072894857053946","982.4859691408165","188.98835904804122","0","0","0","0","25.380228924269492"
"clean_P620_rho0p28","620.0","173.60000000000002","272.79999999999995","0.0","0.0","5","305.1366299585102","0.8072923179985486","982.4859704348285","188.98769575499588","0","0","0","0","25.3802363152711"
"clean_P620_rho0p32","620.0","198.4","223.2","0.0","0.0","5","305.1366272160284","0.8073088762603571","982.4859792651346","188.98381783530758","0","0","0","0","25.38028079184285"
"clean_P620_rho0p38","620.0","235.6","148.8","0.0","0.0","5","305.1298966814823","0.8075189784621011","982.5076508741655","188.93048016196119","0","0","0","0","25.402442760883734"
"clean_P620_rho0p28","620.0","173.60000000000002","272.79999999999995","0.0","0.0","6","305.1298960032645","0.8075247830491954","982.5076530580031","188.9291216865821","0","0","0","0","25.402457435675323"
"clean_P620_rho0p36","620.0","223.2","173.60000000000002","0.0","0.0","6","305.1298953277801","0.8075269481167945","982.5076552330394","188.92861472881054","0","0","0","0","25.4024642721265"
"clean_P620_rho0p24","620.0","148.79999999999998","322.40000000000003","0.0","0.0","6","305.1298953256705","0.8075273482795967","982.5076552398324","188.9285211056548","0","0","0","0","25.4024651397744"
"clean_P620_rho0p20","620.0","124.0","372.0","0.0","0.0","6","305.12989486373203","0.8075293413615754","982.507656727258","188.9280545207512","0","0","0","0","25.402470917404532"
"clean_P620_rho0p16","620.0","99.2","421.6","0.0","0.0","6","305.12989496919425","0.8075303114025477","982.5076563876734","188.92782763735127","0","0","0","0","25.402472663995365"
