path_index,segment,s_norm,kx_norm,ky_norm,mode_index,wavelength_nm,freq_thz_real,freq_thz_imag,q_value,period_nm,radius_nm,axis_gap_nm
0,G,0.0,0.0,0.0,1,980.9839842164391,305.60382516281265,2.1278744037938477e-05,7180964.830864616,616.0,243.0,130.0
1,G-X,0.02,0.02,0.0,3,981.2113845200814,305.533000054449,0.0028368292677382473,53851.14351595169,616.0,243.0,130.0
2,G-X,0.05,0.05,0.0,2,980.9100539940264,305.6268582214223,0.8049918337649101,189.83227245425547,616.0,243.0,130.0
3,G-X,0.1,0.1,0.0,1,982.7213711678629,305.06353763704925,2.958713266981064,51.55341361420977,616.0,243.0,130.0
4,G-X,0.2,0.2,0.0,1,985.6748992917692,304.14942920369384,7.290744002079555,20.85860024141162,616.0,243.0,130.0
5,G-X,0.35,0.35,0.0,1,985.3508504892576,304.24945373634546,11.864652020950025,12.821676236231648,616.0,243.0,130.0
6,X,0.5,0.5,0.0,1,973.9296604442501,307.81736112570195,8.614691007069242,17.86583876735138,616.0,243.0,130.0
7,X-M,0.6,0.5,0.1,2,972.6792419469538,308.213072790495,8.638463290145058,17.839577621526217,616.0,243.0,130.0
8,X-M,0.75,0.5,0.25,2,970.6077255255508,308.8708755513693,2.043653884929,75.56829408080029,616.0,243.0,130.0
9,M,1.0,0.5,0.5,1,971.7072927479883,308.52136259283077,5.4769673612093195,28.165346098092225,616.0,243.0,130.0
10,M-G,1.2121320343559643,0.35,0.35,1,990.6158075261296,302.63241886748546,7.328733950465001,20.646978107882042,616.0,243.0,130.0
11,M-G,1.4242640687119286,0.2,0.2,6,991.0299856955338,302.50594061449806,2.980862765060093,50.74133974906417,616.0,243.0,130.0
12,M-G,1.565685424949238,0.1,0.1,7,991.6242820110793,302.32464395890054,0.12479968505647025,1211.2396109898134,616.0,243.0,130.0
13,M-G,1.6363961030678928,0.05,0.05,11,990.9232000171507,302.53853981298573,0.8136256082234853,185.9199960984297,616.0,243.0,130.0
14,G,1.7071067811865477,0.0,0.0,1,980.9839842164391,305.60382516281265,2.1278744037938477e-05,7180964.830864616,616.0,243.0,130.0
