Wavel.[nm]  	MAT._REFRACTIVE_INDEX  	MAT._ABSORPTION    

240.000	2.3882	0.0054
241.131	2.3838	0.0051
242.261	2.3796	0.0048
243.392	2.3754	0.0045
244.522	2.3714	0.0042
245.653	2.3674	0.0040
246.783	2.3635	0.0037
247.914	2.3596	0.0035
249.045	2.3558	0.0033
250.175	2.3522	0.0031
251.306	2.3485	0.0029
252.436	2.3450	0.0027
253.567	2.3415	0.0025
254.697	2.3381	0.0023
255.828	2.3347	0.0021
256.958	2.3314	0.0020
258.089	2.3281	0.0018
259.220	2.3250	0.0017
260.350	2.3218	0.0015
261.481	2.3188	0.0014
262.611	2.3157	0.0013
263.742	2.3128	0.0012
264.872	2.3099	0.0011
266.003	2.3070	0.0010
267.134	2.3042	0.0009
268.264	2.3014	0.0008
269.395	2.2987	0.0007
270.525	2.2961	0.0006
271.656	2.2934	0.0005
272.786	2.2909	0.0005
273.917	2.2883	0.0004
275.048	2.2858	0.0003
276.178	2.2834	0.0003
277.309	2.2810	0.0002
278.439	2.2786	0.0002
279.570	2.2763	0.0002
280.700	2.2740	0.0001
281.831	2.2717	0.0001
282.961	2.2695	0.0001
284.092	2.2673	0.0000
285.223	2.2652	0.0000
286.353	2.2631	0.0000
287.484	2.2610	0.0000
288.614	2.2589	0.0000
289.745	2.2569	0.0000
290.875	2.2550	0.0000
292.006	2.2530	0.0000
293.137	2.2511	0.0000
294.267	2.2493	0.0000
295.398	2.2474	0.0000
296.528	2.2456	0.0000
297.659	2.2438	0.0000
298.789	2.2421	0.0000
299.920	2.2403	0.0000
301.051	2.2386	0.0000
302.181	2.2370	0.0000
303.312	2.2353	0.0000
304.442	2.2337	0.0000
305.573	2.2321	0.0000
306.703	2.2305	0.0000
307.834	2.2289	0.0000
308.964	2.2274	0.0000
310.095	2.2259	0.0000
311.226	2.2244	0.0000
312.356	2.2229	0.0000
313.487	2.2215	0.0000
314.617	2.2200	0.0000
315.748	2.2186	0.0000
316.878	2.2172	0.0000
318.009	2.2159	0.0000
319.140	2.2145	0.0000
320.270	2.2132	0.0000
321.401	2.2119	0.0000
322.531	2.2106	0.0000
323.662	2.2093	0.0000
324.792	2.2080	0.0000
325.923	2.2068	0.0000
327.054	2.2055	0.0000
328.184	2.2043	0.0000
329.315	2.2031	0.0000
330.445	2.2019	0.0000
331.576	2.2007	0.0000
332.706	2.1996	0.0000
333.837	2.1984	0.0000
334.967	2.1973	0.0000
336.098	2.1962	0.0000
337.229	2.1951	0.0000
338.359	2.1940	0.0000
339.490	2.1929	0.0000
340.620	2.1919	0.0000
341.751	2.1908	0.0000
342.881	2.1898	0.0000
344.012	2.1888	0.0000
345.143	2.1878	0.0000
346.273	2.1868	0.0000
347.404	2.1858	0.0000
348.534	2.1848	0.0000
349.665	2.1838	0.0000
350.795	2.1829	0.0000
351.926	2.1820	0.0000
353.057	2.1810	0.0000
354.187	2.1801	0.0000
355.318	2.1792	0.0000
356.448	2.1783	0.0000
357.579	2.1774	0.0000
358.709	2.1765	0.0000
359.840	2.1757	0.0000
360.970	2.1748	0.0000
362.101	2.1740	0.0000
363.232	2.1731	0.0000
364.362	2.1723	0.0000
365.493	2.1715	0.0000
366.623	2.1707	0.0000
367.754	2.1699	0.0000
368.884	2.1691	0.0000
370.015	2.1683	0.0000
371.146	2.1675	0.0000
372.276	2.1667	0.0000
373.407	2.1660	0.0000
374.537	2.1652	0.0000
375.668	2.1645	0.0000
376.798	2.1637	0.0000
377.929	2.1630	0.0000
379.060	2.1623	0.0000
380.190	2.1616	0.0000
381.321	2.1609	0.0000
382.451	2.1602	0.0000
383.582	2.1595	0.0000
384.712	2.1588	0.0000
385.843	2.1581	0.0000
386.973	2.1574	0.0000
388.104	2.1568	0.0000
389.235	2.1561	0.0000
390.365	2.1555	0.0000
391.496	2.1548	0.0000
392.626	2.1542	0.0000
393.757	2.1536	0.0000
394.887	2.1529	0.0000
396.018	2.1523	0.0000
397.149	2.1517	0.0000
398.279	2.1511	0.0000
399.410	2.1505	0.0000
400.540	2.1499	0.0000
401.671	2.1493	0.0000
402.801	2.1487	0.0000
403.932	2.1482	0.0000
405.063	2.1476	0.0000
406.193	2.1470	0.0000
407.324	2.1465	0.0000
408.454	2.1459	0.0000
409.585	2.1453	0.0000
410.715	2.1448	0.0000
411.846	2.1443	0.0000
412.976	2.1437	0.0000
414.107	2.1432	0.0000
415.238	2.1427	0.0000
416.368	2.1421	0.0000
417.499	2.1416	0.0000
418.629	2.1411	0.0000
419.760	2.1406	0.0000
420.890	2.1401	0.0000
422.021	2.1396	0.0000
423.152	2.1391	0.0000
424.282	2.1386	0.0000
425.413	2.1381	0.0000
426.543	2.1377	0.0000
427.674	2.1372	0.0000
428.804	2.1367	0.0000
429.935	2.1363	0.0000
431.066	2.1358	0.0000
432.196	2.1353	0.0000
433.327	2.1349	0.0000
434.457	2.1344	0.0000
435.588	2.1340	0.0000
436.718	2.1335	0.0000
437.849	2.1331	0.0000
438.979	2.1327	0.0000
440.110	2.1322	0.0000
441.241	2.1318	0.0000
442.371	2.1314	0.0000
443.502	2.1310	0.0000
444.632	2.1305	0.0000
445.763	2.1301	0.0000
446.893	2.1297	0.0000
448.024	2.1293	0.0000
449.155	2.1289	0.0000
450.285	2.1285	0.0000
451.416	2.1281	0.0000
452.546	2.1277	0.0000
453.677	2.1273	0.0000
454.807	2.1270	0.0000
455.938	2.1266	0.0000
457.069	2.1262	0.0000
458.199	2.1258	0.0000
459.330	2.1254	0.0000
460.460	2.1251	0.0000
461.591	2.1247	0.0000
462.721	2.1243	0.0000
463.852	2.1240	0.0000
464.982	2.1236	0.0000
466.113	2.1233	0.0000
467.244	2.1229	0.0000
468.374	2.1226	0.0000
469.505	2.1222	0.0000
470.635	2.1219	0.0000
471.766	2.1215	0.0000
472.896	2.1212	0.0000
474.027	2.1208	0.0000
475.158	2.1205	0.0000
476.288	2.1202	0.0000
477.419	2.1199	0.0000
478.549	2.1195	0.0000
479.680	2.1192	0.0000
480.810	2.1189	0.0000
481.941	2.1186	0.0000
483.072	2.1182	0.0000
484.202	2.1179	0.0000
485.333	2.1176	0.0000
486.463	2.1173	0.0000
487.594	2.1170	0.0000
488.724	2.1167	0.0000
489.855	2.1164	0.0000
490.985	2.1161	0.0000
492.116	2.1158	0.0000
493.247	2.1155	0.0000
494.377	2.1152	0.0000
495.508	2.1149	0.0000
496.638	2.1146	0.0000
497.769	2.1143	0.0000
498.899	2.1141	0.0000
500.030	2.1138	0.0000
501.161	2.1135	0.0000
502.291	2.1132	0.0000
503.422	2.1129	0.0000
504.552	2.1127	0.0000
505.683	2.1124	0.0000
506.813	2.1121	0.0000
507.944	2.1119	0.0000
509.075	2.1116	0.0000
510.205	2.1113	0.0000
511.336	2.1111	0.0000
512.466	2.1108	0.0000
